id,date,NO2_pred
6,2024-05-14,0.00010190378
6,2024-05-15,0.000102404694
7,2024-04-30,8.672789e-05
7,2024-05-01,8.703781e-05
7,2024-05-02,8.7415836e-05
7,2024-05-03,8.767141e-05
7,2024-05-04,8.806892e-05
7,2024-05-05,8.7992434e-05
7,2024-05-06,8.8346445e-05
7,2024-05-07,8.840608e-05
7,2024-05-08,8.858051e-05
7,2024-05-09,8.840011e-05
7,2024-05-10,8.8546556e-05
7,2024-05-11,8.8830195e-05
7,2024-05-12,8.8927474e-05
7,2024-05-13,8.934333e-05
7,2024-05-14,8.927661e-05
7,2024-05-15,8.930348e-05
8,2024-04-30,8.390724e-05
8,2024-05-01,8.403977e-05
8,2024-05-02,8.413412e-05
8,2024-05-03,8.4190775e-05
8,2024-05-04,8.427152e-05
8,2024-05-05,8.4171545e-05
8,2024-05-06,8.421948e-05
8,2024-05-07,8.4163934e-05
8,2024-05-08,8.4152955e-05
8,2024-05-09,8.407174e-05
8,2024-05-10,8.404129e-05
8,2024-05-11,8.4067964e-05
8,2024-05-12,8.4022744e-05
8,2024-05-13,8.411087e-05
8,2024-05-14,8.3995204e-05
8,2024-05-15,8.3937906e-05
9,2024-04-30,7.755342e-05
9,2024-05-01,7.762245e-05
9,2024-05-02,7.7621116e-05
9,2024-05-03,7.760381e-05
9,2024-05-04,7.780434e-05
9,2024-05-05,7.7330755e-05
9,2024-05-06,7.7364355e-05
9,2024-05-07,7.715361e-05
9,2024-05-08,7.700812e-05
9,2024-05-09,7.6973825e-05
9,2024-05-10,7.679643e-05
9,2024-05-11,7.678923e-05
9,2024-05-12,7.660616e-05
9,2024-05-13,7.686915e-05
9,2024-05-14,7.6383134e-05
9,2024-05-15,7.6102726e-05
10,2024-04-30,8.840425e-05
10,2024-05-01,8.837258e-05
10,2024-05-02,8.833961e-05
10,2024-05-03,8.8241606e-05
10,2024-05-04,8.8034096e-05
10,2024-05-05,8.780546e-05
10,2024-05-06,8.775719e-05
10,2024-05-07,8.763478e-05
10,2024-05-08,8.747628e-05
10,2024-05-09,8.730869e-05
10,2024-05-10,8.730057e-05
10,2024-05-11,8.720682e-05
10,2024-05-12,8.709214e-05
10,2024-05-13,8.7045555e-05
10,2024-05-14,8.69667e-05
10,2024-05-15,8.689073e-05
11,2024-04-30,8.935037e-05
11,2024-05-01,8.925188e-05
11,2024-05-02,8.9371264e-05
11,2024-05-03,8.92931e-05
11,2024-05-04,8.896757e-05
11,2024-05-05,8.851777e-05
11,2024-05-06,8.860023e-05
11,2024-05-07,8.846545e-05
11,2024-05-08,8.822075e-05
11,2024-05-09,8.796793e-05
11,2024-05-10,8.788123e-05
11,2024-05-11,8.765661e-05
11,2024-05-12,8.747246e-05
11,2024-05-13,8.749308e-05
11,2024-05-14,8.7462024e-05
11,2024-05-15,8.734733e-05
12,2024-04-30,8.847787e-05
