id,lat,long,zone,date,CO
14,18.76559810565482,98.96003473107459,urban,2024-03-25,0.0447852984070831
15,18.748584661185397,98.96003473109663,urban,2024-03-25,0.04478529840708246
16,18.731571231481407,98.96003473112006,urban,2024-03-25,0.04494838106145443
17,18.84213017229777,98.97559378002752,urban,2024-03-25,NA
18,18.82512516247161,98.9755937800094,urban,2024-03-25,NA
19,18.808118649028923,98.97559378000697,urban,2024-03-25,NA
20,18.791111130814,98.97559377086888,urban,2024-03-25,0.044785298046405984
21,18.774102133565243,98.97559378912425,urban,2024-03-25,0.04478529840708293
22,18.75709067921216,98.97559378001435,urban,2024-03-25,0.04478529840708881
23,18.740078723392486,98.97559377995805,urban,2024-03-25,0.0448265016061056
24,18.723065253201693,98.97559377995931,urban,2024-03-25,0.045039251773753786
25,18.816623633573617,98.99115280259166,urban,2024-03-25,NA
26,18.799616630104307,98.99115281170437,urban,2024-03-25,0.044785297877950256
27,18.782607636523494,98.9911528025845,urban,2024-03-25,0.044785298289795
28,18.765598139329224,98.99115280251972,urban,2024-03-25,0.0447852984070723
29,18.791111125802086,99.00671258026475,urban,2024-03-25,0.04478529848268411
30,18.774102141283294,99.00671259850732,urban,2024-03-25,0.04478529840708876
1,18.74007870120448,98.91335808785006,urban,2024-03-26,0.056026168988759395
2,18.76559811840203,98.92891589958906,urban,2024-03-26,0.05669291317464025
3,18.7485846663651,98.9289158995633,urban,2024-03-26,0.056677003667001485
4,18.731571228912202,98.92891589956444,urban,2024-03-26,0.05656432587263099
5,18.791111128265864,98.94447493992463,urban,2024-03-26,0.054006153131249617
6,18.77410214222722,98.94447494902433,urban,2024-03-26,0.05669291317462266
7,18.757090678745303,98.94447493990828,urban,2024-03-26,0.05669291317462307
8,18.74007871834797,98.94447493987954,urban,2024-03-26,0.056616475463332525
9,18.723065258432655,98.94447493075144,urban,2024-03-26,0.0565607361495428
10,18.83362866444315,98.96003473115987,urban,2024-03-26,0.053580934502825306
11,18.816623631248998,98.96003473117173,urban,2024-03-26,0.05329271778464776
12,18.799616617653914,98.96003474023692,urban,2024-03-26,0.0533511476019985
13,18.7826076136698,98.96003473112485,urban,2024-03-26,0.05576763306673937
14,18.76559810565482,98.96003473107459,urban,2024-03-26,0.05669291317463745
15,18.748584661185397,98.96003473109663,urban,2024-03-26,0.056669197160692436
16,18.731571231481407,98.96003473112006,urban,2024-03-26,0.056564459331414345
17,18.84213017229777,98.97559378002752,urban,2024-03-26,0.05439617837857486
18,18.82512516247161,98.9755937800094,urban,2024-03-26,0.05329271778466043
19,18.808118649028923,98.97559378000697,urban,2024-03-26,0.05329271778464189
20,18.791111130814,98.97559377086888,urban,2024-03-26,0.05419788832704548
21,18.774102133565243,98.97559378912425,urban,2024-03-26,0.05669291317463831
22,18.75709067921216,98.97559378001435,urban,2024-03-26,0.05669291317463495
23,18.740078723392486,98.97559377995805,urban,2024-03-26,0.056609232333900014
24,18.723065253201693,98.97559377995931,urban,2024-03-26,0.056560736149563196
25,18.816623633573617,98.99115280259166,urban,2024-03-26,0.05329271778463354
26,18.799616630104307,98.99115281170437,urban,2024-03-26,0.05336806723075871
27,18.782607636523494,98.9911528025845,urban,2024-03-26,0.0559086595855796
28,18.765598139329224,98.99115280251972,urban,2024-03-26,0.0566929131746234
29,18.791111125802086,99.00671258026475,urban,2024-03-26,0.054459962460597915
30,18.774102141283294,99.00671259850732,urban,2024-03-26,0.0566929131746222
1,18.74007870120448,98.91335808785006,urban,2024-03-27,0.05690715406620177
2,18.76559811840203,98.92891589958906,urban,2024-03-27,NA
3,18.7485846663651,98.9289158995633,urban,2024-03-27,0.05693685501596875
4,18.731571228912202,98.92891589956444,urban,2024-03-27,0.056909032905241505
5,18.791111128265864,98.94447493992463,urban,2024-03-27,NA
6,18.77410214222722,98.94447494902433,urban,2024-03-27,NA
7,18.757090678745303,98.94447493990828,urban,2024-03-27,NA
8,18.74007871834797,98.94447493987954,urban,2024-03-27,0.05721142834240613
9,18.723065258432655,98.94447493075144,urban,2024-03-27,0.05717866943178062
10,18.83362866444315,98.96003473115987,urban,2024-03-27,NA
11,18.816623631248998,98.96003473117173,urban,2024-03-27,NA
12,18.799616617653914,98.96003474023692,urban,2024-03-27,NA
13,18.7826076136698,98.96003473112485,urban,2024-03-27,NA
14,18.76559810565482,98.96003473107459,urban,2024-03-27,NA
15,18.748584661185397,98.96003473109663,urban,2024-03-27,0.057315464050457406
16,18.731571231481407,98.96003473112006,urban,2024-03-27,0.057315465015326125
17,18.84213017229777,98.97559378002752,urban,2024-03-27,NA
18,18.82512516247161,98.9755937800094,urban,2024-03-27,NA
19,18.808118649028923,98.97559378000697,urban,2024-03-27,NA
