id,date,dt, co 
73,20/4/2024,20/4/2024, 0.046226 
73,21/4/2024,21/4/2024, NA 
73,22/4/2024,22/4/2024, 0.054408 
73,23/4/2024,23/4/2024, 0.056963 
73,24/4/2024,24/4/2024, 0.050174 
73,25/4/2024,25/4/2024, 0.050771 
73,26/4/2024,26/4/2024, 0.042950 
73,27/4/2024,27/4/2024, 0.057405 
73,28/4/2024,28/4/2024, 0.062453 
73,29/4/2024,29/4/2024, 0.053490 
74,14/4/2024,14/4/2024, 0.071744 
74,15/4/2024,15/4/2024, 0.063080 
74,16/4/2024,16/4/2024, 0.056594 
74,17/4/2024,17/4/2024, 0.047508 
74,18/4/2024,18/4/2024, 0.057867 
74,19/4/2024,19/4/2024, 0.057355 
74,20/4/2024,20/4/2024, 0.046258 
74,21/4/2024,21/4/2024, NA 
74,22/4/2024,22/4/2024, 0.056899 
74,23/4/2024,23/4/2024, 0.056725 
74,24/4/2024,24/4/2024, 0.051570 
74,25/4/2024,25/4/2024, 0.050557 
74,26/4/2024,26/4/2024, NA 
74,27/4/2024,27/4/2024, 0.058472 
74,28/4/2024,28/4/2024, 0.062772 
74,29/4/2024,29/4/2024, 0.054422 
75,14/4/2024,14/4/2024, 0.071631 
75,15/4/2024,15/4/2024, 0.063080 
75,16/4/2024,16/4/2024, NA 
75,17/4/2024,17/4/2024, 0.047395 
75,18/4/2024,18/4/2024, 0.057892 
75,19/4/2024,19/4/2024, 0.060042 
75,20/4/2024,20/4/2024, 0.046202 
75,21/4/2024,21/4/2024, NA 
75,22/4/2024,22/4/2024, 0.057822 
75,23/4/2024,23/4/2024, 0.056102 
75,24/4/2024,24/4/2024, 0.052198 
75,25/4/2024,25/4/2024, 0.049901 
75,26/4/2024,26/4/2024, 0.043099 
75,27/4/2024,27/4/2024, 0.060415 
75,28/4/2024,28/4/2024, 0.063088 
75,29/4/2024,29/4/2024, 0.054773 
76,14/4/2024,14/4/2024, 0.071072 
76,15/4/2024,15/4/2024, 0.063093 
76,16/4/2024,16/4/2024, NA 
76,17/4/2024,17/4/2024, 0.047501 
76,18/4/2024,18/4/2024, 0.058995 
76,19/4/2024,19/4/2024, 0.060045 
76,20/4/2024,20/4/2024, 0.045419 
76,21/4/2024,21/4/2024, NA 
76,22/4/2024,22/4/2024, 0.058125 
76,23/4/2024,23/4/2024, 0.054725 
76,24/4/2024,24/4/2024, 0.052198 
76,25/4/2024,25/4/2024, 0.049891 
76,26/4/2024,26/4/2024, 0.043099 
76,27/4/2024,27/4/2024, 0.060415 
76,28/4/2024,28/4/2024, 0.062993 
76,29/4/2024,29/4/2024, 0.054773 
77,14/4/2024,14/4/2024, 0.071059 
77,15/4/2024,15/4/2024, 0.063226 
77,16/4/2024,16/4/2024, NA 
77,17/4/2024,17/4/2024, 0.047656 
77,18/4/2024,18/4/2024, 0.058844 
77,19/4/2024,19/4/2024, 0.059982 
77,20/4/2024,20/4/2024, 0.045303 
77,21/4/2024,21/4/2024, NA 
77,22/4/2024,22/4/2024, 0.057775 
77,23/4/2024,23/4/2024, 0.054182 
77,24/4/2024,24/4/2024, 0.054314 
77,25/4/2024,25/4/2024, 0.049722 
77,26/4/2024,26/4/2024, 0.043099 
77,27/4/2024,27/4/2024, 0.060110 
77,28/4/2024,28/4/2024, 0.062531 
77,29/4/2024,29/4/2024, 0.053467 
78,14/4/2024,14/4/2024, 0.070937 
78,15/4/2024,15/4/2024, 0.063283 
78,16/4/2024,16/4/2024, NA 
78,17/4/2024,17/4/2024, 0.047988 
78,18/4/2024,18/4/2024, 0.058173 
78,19/4/2024,19/4/2024, 0.057572 
78,20/4/2024,20/4/2024, 0.045303 
78,21/4/2024,21/4/2024, NA 
78,22/4/2024,22/4/2024, 0.057760 
78,23/4/2024,23/4/2024, 0.054182 
78,24/4/2024,24/4/2024, 0.054695 
78,25/4/2024,25/4/2024, 0.049403 
78,26/4/2024,26/4/2024, 0.043981 
78,27/4/2024,27/4/2024, 0.059100 
78,28/4/2024,28/4/2024, 0.061941 
78,29/4/2024,29/4/2024, 0.051197 
79,14/4/2024,14/4/2024, 0.070468 
79,15/4/2024,15/4/2024, 0.062720 
79,16/4/2024,16/4/2024, NA 
79,17/4/2024,17/4/2024, 0.048417 
79,18/4/2024,18/4/2024, 0.057442 
79,19/4/2024,19/4/2024, 0.057300 
79,20/4/2024,20/4/2024, 0.045472 
79,21/4/2024,21/4/2024, NA 
79,22/4/2024,22/4/2024, 0.056513 
79,23/4/2024,23/4/2024, 0.055320 
79,24/4/2024,24/4/2024, 0.054695 
79,25/4/2024,25/4/2024, 0.049396 
79,26/4/2024,26/4/2024, 0.046468 
79,27/4/2024,27/4/2024, 0.059069 
79,28/4/2024,28/4/2024, 0.061812 
79,29/4/2024,29/4/2024, 0.051160 
80,14/4/2024,14/4/2024, 0.071744 
80,15/4/2024,15/4/2024, NA 
80,16/4/2024,16/4/2024, 0.056594 
80,17/4/2024,17/4/2024, 0.047599 
80,18/4/2024,18/4/2024, 0.057869 
80,19/4/2024,19/4/2024, 0.056609 
80,20/4/2024,20/4/2024, 0.046258 
80,21/4/2024,21/4/2024, NA 
80,22/4/2024,22/4/2024, 0.055315 
80,23/4/2024,23/4/2024, 0.059692 
80,24/4/2024,24/4/2024, 0.051072 
80,25/4/2024,25/4/2024, 0.050635 
80,26/4/2024,26/4/2024, NA 
80,27/4/2024,27/4/2024, 0.057558 
80,28/4/2024,28/4/2024, 0.061795 
80,29/4/2024,29/4/2024, 0.053074 
81,14/4/2024,14/4/2024, 0.071702 
81,15/4/2024,15/4/2024, 0.063080 
81,16/4/2024,16/4/2024, 0.056594 
81,17/4/2024,17/4/2024, 0.047365 
81,18/4/2024,18/4/2024, 0.057870 
81,19/4/2024,19/4/2024, 0.059632 
81,20/4/2024,20/4/2024, 0.046225 
81,21/4/2024,21/4/2024, NA 
81,22/4/2024,22/4/2024, 0.055848 
81,23/4/2024,23/4/2024, 0.059320 
81,24/4/2024,24/4/2024, 0.052197 
81,25/4/2024,25/4/2024, 0.049936 
81,26/4/2024,26/4/2024, 0.043099 
81,27/4/2024,27/4/2024, 0.059861 
81,28/4/2024,28/4/2024, 0.063015 
81,29/4/2024,29/4/2024, 0.054773 
82,14/4/2024,14/4/2024, 0.071122 
82,15/4/2024,15/4/2024, 0.063080 
82,16/4/2024,16/4/2024, NA 
82,17/4/2024,17/4/2024, 0.047311 
82,18/4/2024,18/4/2024, 0.058705 
82,19/4/2024,19/4/2024, 0.060045 
82,20/4/2024,20/4/2024, 0.045490 
82,21/4/2024,21/4/2024, NA 
82,22/4/2024,22/4/2024, 0.056077 
82,23/4/2024,23/4/2024, 0.057466 
82,24/4/2024,24/4/2024, 0.052210 
82,25/4/2024,25/4/2024, 0.049891 
82,26/4/2024,26/4/2024, 0.043099 
82,27/4/2024,27/4/2024, 0.060415 
82,28/4/2024,28/4/2024, 0.063511 
82,29/4/2024,29/4/2024, 0.054773 
83,14/4/2024,14/4/2024, 0.071059 
83,15/4/2024,15/4/2024, 0.063080 
83,16/4/2024,16/4/2024, NA 
83,17/4/2024,17/4/2024, 0.047311 
83,18/4/2024,18/4/2024, 0.059425 
83,19/4/2024,19/4/2024, 0.059553 
83,20/4/2024,20/4/2024, 0.045303 
83,21/4/2024,21/4/2024, NA 
83,22/4/2024,22/4/2024, 0.057876 
83,23/4/2024,23/4/2024, 0.056125 
83,24/4/2024,24/4/2024, 0.053627 
83,25/4/2024,25/4/2024, 0.049767 
83,26/4/2024,26/4/2024, 0.043099 
83,27/4/2024,27/4/2024, 0.060415 
83,28/4/2024,28/4/2024, 0.063345 
83,29/4/2024,29/4/2024, 0.054577 
84,14/4/2024,14/4/2024, 0.071005 
84,15/4/2024,15/4/2024, 0.062846 
84,16/4/2024,16/4/2024, NA 
84,17/4/2024,17/4/2024, 0.047552 
84,18/4/2024,18/4/2024, 0.059425 
84,19/4/2024,19/4/2024, 0.058317 
84,20/4/2024,20/4/2024, 0.045303 
84,21/4/2024,21/4/2024, NA 
84,22/4/2024,22/4/2024, 0.057870 
84,23/4/2024,23/4/2024, 0.055206 
84,24/4/2024,24/4/2024, 0.054695 
84,25/4/2024,25/4/2024, 0.049399 
84,26/4/2024,26/4/2024, 0.043099 
84,27/4/2024,27/4/2024, 0.059404 
84,28/4/2024,28/4/2024, 0.061889 
84,29/4/2024,29/4/2024, 0.053047 
85,14/4/2024,14/4/2024, 0.070431 
85,15/4/2024,15/4/2024, 0.062343 
85,16/4/2024,16/4/2024, NA 
85,17/4/2024,17/4/2024, 0.047647 
85,18/4/2024,18/4/2024, 0.059367 
85,19/4/2024,19/4/2024, 0.057301 
85,20/4/2024,20/4/2024, 0.045446 
85,21/4/2024,21/4/2024, NA 
85,22/4/2024,22/4/2024, 0.057740 
85,23/4/2024,23/4/2024, 0.055192 
85,24/4/2024,24/4/2024, 0.054695 
85,25/4/2024,25/4/2024, 0.049396 
85,26/4/2024,26/4/2024, 0.045675 
85,27/4/2024,27/4/2024, 0.059069 
85,28/4/2024,28/4/2024, 0.061849 
85,29/4/2024,29/4/2024, 0.052124 
86,14/4/2024,14/4/2024, 0.071718 
86,15/4/2024,15/4/2024, 0.063080 
86,16/4/2024,16/4/2024, 0.056594 
86,17/4/2024,17/4/2024, 0.047465 
86,18/4/2024,18/4/2024, 0.057869 
86,19/4/2024,19/4/2024, 0.059283 
86,20/4/2024,20/4/2024, 0.046226 
86,21/4/2024,21/4/2024, NA 
86,22/4/2024,22/4/2024, 0.055848 
86,23/4/2024,23/4/2024, 0.059949 
86,24/4/2024,24/4/2024, 0.052135 
86,25/4/2024,25/4/2024, 0.049900 
86,26/4/2024,26/4/2024, NA 
86,27/4/2024,27/4/2024, 0.058725 
86,28/4/2024,28/4/2024, 0.062355 
86,29/4/2024,29/4/2024, 0.053049 
87,14/4/2024,14/4/2024, 0.071239 
87,15/4/2024,15/4/2024, 0.063080 
87,16/4/2024,16/4/2024, NA 
87,17/4/2024,17/4/2024, 0.047311 
87,18/4/2024,18/4/2024, 0.058074 
87,19/4/2024,19/4/2024, 0.060045 
87,20/4/2024,20/4/2024, 0.045554 
87,21/4/2024,21/4/2024, NA 
87,22/4/2024,22/4/2024, 0.055870 
87,23/4/2024,23/4/2024, 0.059396 
87,24/4/2024,24/4/2024, 0.052198 
87,25/4/2024,25/4/2024, 0.049885 
87,26/4/2024,26/4/2024, 0.043099 
87,27/4/2024,27/4/2024, 0.060415 
87,28/4/2024,28/4/2024, 0.063613 
87,29/4/2024,29/4/2024, NA 
88,14/4/2024,14/4/2024, 0.071059 
88,15/4/2024,15/4/2024, 0.063080 
88,16/4/2024,16/4/2024, NA 
88,17/4/2024,17/4/2024, 0.047311 
88,18/4/2024,18/4/2024, 0.059414 
88,19/4/2024,19/4/2024, 0.059930 
88,20/4/2024,20/4/2024, 0.045303 
88,21/4/2024,21/4/2024, NA 
88,22/4/2024,22/4/2024, 0.057178 
88,23/4/2024,23/4/2024, 0.057630 
88,24/4/2024,24/4/2024, 0.053085 
88,25/4/2024,25/4/2024, 0.049824 
88,26/4/2024,26/4/2024, 0.043099 
88,27/4/2024,27/4/2024, 0.060415 
88,28/4/2024,28/4/2024, 0.063613 
88,29/4/2024,29/4/2024, 0.054693 
89,14/4/2024,14/4/2024, 0.071023 
89,15/4/2024,15/4/2024, 0.062956 
89,16/4/2024,16/4/2024, NA 
89,17/4/2024,17/4/2024, 0.047410 
89,18/4/2024,18/4/2024, 0.059425 
89,19/4/2024,19/4/2024, 0.057641 
89,20/4/2024,20/4/2024, 0.045303 
89,21/4/2024,21/4/2024, NA 
89,22/4/2024,22/4/2024, 0.057884 
89,23/4/2024,23/4/2024, 0.057630 
89,24/4/2024,24/4/2024, 0.054695 
89,25/4/2024,25/4/2024, 0.049408 
89,26/4/2024,26/4/2024, 0.043099 
89,27/4/2024,27/4/2024, 0.060030 
89,28/4/2024,28/4/2024, 0.062573 
89,29/4/2024,29/4/2024, 0.054693 
90,14/4/2024,14/4/2024, 0.070569 
90,15/4/2024,15/4/2024, 0.062091 
90,16/4/2024,16/4/2024, NA 
90,17/4/2024,17/4/2024, 0.047642 
90,18/4/2024,18/4/2024, 0.059399 
90,19/4/2024,19/4/2024, 0.057313 
90,20/4/2024,20/4/2024, 0.045413 
90,21/4/2024,21/4/2024, NA 
90,22/4/2024,22/4/2024, 0.057884 
90,23/4/2024,23/4/2024, 0.057499 
90,24/4/2024,24/4/2024, 0.054695 
90,25/4/2024,25/4/2024, 0.049396 
90,26/4/2024,26/4/2024, 0.043933 
90,27/4/2024,27/4/2024, 0.059092 
90,28/4/2024,28/4/2024, 0.061929 
90,29/4/2024,29/4/2024, 0.054693 
