                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.1586,                 2.0864,                 1.4921,                  1.181,                0.91728,                0.08333,                0.20317,                0.16459,                0.91728,                0.08333,                0.20149,                0.12852,                 1.3016,                0.41593,                 5.7472,                0.91923,             0.00035063,             0.00035063,             0.00035063
                     44,                 1.0038,                  2.058,                 1.4167,                 1.1397,                0.97187,                0.40748,                0.43607,                 0.2917,                 0.9167,                0.36249,                 0.4073,                0.26741,                 1.3016,                0.41593,                 5.7472,                0.91923,             0.00035289,             0.00035289,             0.00035289
                     45,                 1.0187,                 1.9101,                 1.4117,                 1.1137,                0.99486,                0.08333,                0.20048,                0.16976,                0.99486,                0.08333,                0.20048,                0.12504,                 1.4355,                0.44235,                 5.8694,                 0.9797,             0.00035487,             0.00035487,             0.00035487
                     46,                 1.0968,                 2.2921,                 1.5133,                 1.2068,                      1,                0.37102,                0.43404,                0.28772,                0.92464,                0.32485,                0.39715,                0.27916,                 1.4355,                0.44235,                 5.8694,                 0.9797,             0.00035657,             0.00035657,             0.00035657
                     47,                0.94259,                 2.0346,                 1.5255,                 1.1623,                  0.834,                0.04167,                0.18697,                0.16506,                  0.834,                0.04167,                0.18697,                0.12225,                 1.5212,                0.44891,                 5.8914,                  0.993,             0.00035799,             0.00035799,             0.00035799
                     48,                0.97649,                 1.7039,                 1.2809,                 1.1442,                0.93949,                0.33096,                0.41992,                0.28653,                0.93949,                0.33096,                0.40121,                0.27101,                 1.5212,                0.44891,                 5.8914,                  0.993,             0.00035912,             0.00035912,             0.00035912
                     49,                 1.0492,                 1.9869,                 1.4333,                 1.2185,                0.82785,                0.08333,                0.18658,                 0.1499,                0.82785,                0.08333,                0.18658,                0.11664,                    1.6,                0.45111,                 5.8338,                 1.0254,             0.00035997,             0.00035997,             0.00035997
                     50,                0.86792,                 1.7296,                 1.2508,                 1.0735,                0.92988,                0.36823,                0.40466,                0.27419,                0.92988,                0.36823,                0.39176,                 0.2593,                    1.6,                0.45111,                 5.8338,                 1.0254,             0.00036054,             0.00036054,             0.00036054
                     51,                 1.1616,                 2.0259,                  1.441,                 1.2387,                0.82258,                0.08333,                0.20199,                0.15873,                0.82258,                0.08333,                0.20353,                 0.1289,                 1.5964,                0.42829,                 5.8157,                 1.0267,             0.00036082,             0.00036082,             0.00036082
                     52,                0.95348,                 2.0006,                 1.2566,                 1.1522,                0.82258,                0.08333,                0.20199,                0.15873,                0.82258,                0.08333,                0.20353,                 0.1289,                 1.5964,                0.42829,                 5.8157,                 1.0267,             0.00036082,             0.00036082,             0.00036082
